
Upper bound 1577 after 1 search tree nodes
MaschineNo  10 :   41 122  73  55  64 139 196  15 157   7  87 116 148 186 107 179  28 169  99  40 

Upper bound 1441 after 61 search tree nodes
MaschineNo   1 :  131  91 111 161 123  56  84 194  26  66 175  36  18  78   8 110 150 160  50 190 
MaschineNo   2 :   51 151 141 112 173   3  85  35  16 140 197 127 108 168 187 100  48  80  70  30 
MaschineNo   3 :   71 121  53  22 172 137 181 162  33  65 195  92 155 113 105  86 144  19  10  49 
MaschineNo   4 :   21 191 132  72  81  13  63   2 104  57 176  95  45 146 158 129 118 188  39 170 
MaschineNo   5 :   31  12 103  82  74  25 138 174 163 153   6 183 125  93  44 198 115 147  69  60 
MaschineNo   6 :   61 101 152  32 133 171  43  24 193  14 142 124  76 166 185  96  88   9  59 120 
MaschineNo   7 :    1  42  62 102 134  54  83 164  17 184 126  37 145  97  79 178 159  29 119 200 
MaschineNo   8 :  135  23 192   5 154  75  67  94 114 167 177  89 109  46  20 149  58  38 189 130 
MaschineNo   9 :   11  52 136 182   4  34 143  27 165 156 106  77  68  98 128  47 117 199  90 180 
MaschineNo  10 :   41 122  73  55  64 139  15 196   7  28 157  87 107 186  99 148 116 169 179  40 

Upper bound 1440 after 79 search tree nodes
MaschineNo   1 :  131  91 111 161 123  56  84 194  26  66 175  36  18   8  50 110  78 150 160 190 
MaschineNo   2 :   51 141 151 112 173   3  85  16  35 140 197  48 168 108 127 187  70 100  80  30 
MaschineNo   3 :   71 121  53  22 172 137 181 162  33  65 195  92 155 113 105 144  86  49  19  10 
MaschineNo   4 :   21 191 132  72  81  13  63   2 104  57  45  95 176 146 158 118 188  39 129 170 
MaschineNo   5 :   31  12 103  82  74  25 138 174 163 153   6 183  44 125  93 198 115 147  69  60 
MaschineNo   6 :   61 101  32 142 133 171 152  24 193  14 124  43 166 185  96  88  76   9 120  59 
MaschineNo   7 :    1  42  62 102 134  54  83 164  17 184 126 145  37  97 178 159 200 119  79  29 
MaschineNo   8 :  135  23 192   5 154  67  94  46 114 167  75 177  89 109  20 149  58  38 189 130 
MaschineNo   9 :   11  52 136 182   4 143  34  27 165 156 106  47  68 199  77 117  98 128  90 180 
MaschineNo  10 :   41 122  73  55  64 139  15 196   7  28 157  87 107 186 148 116 179  99 169  40 

Upper bound 1438 after 88 search tree nodes
MaschineNo   1 :  131  91 111 161 123  56  84  26 194  66 175  36  18  78   8  50 150 160 110 190 
MaschineNo   2 :   51 141 151 112 173   3  85  35  16 140 197 127  48 168 187 108  80  70 100  30 
MaschineNo   3 :   71 121  53  22  33 172 181 137 162  65 144 195 113 155  92  86 105  19  49  10 
MaschineNo   4 :   21 191 132  72  81  13  63   2  45  57 146 176  95 104 158 129 188  39 118 170 
MaschineNo   5 :   31  12  44  82  74  25 174 138 163 153 183   6 125 147  93 103 115 198  69  60 
MaschineNo   6 :   61 101  43  32 133 171 152  24 142 193  14 124  76 166  96 185  88  59   9 120 
MaschineNo   7 :   42  62   1 134  54 102  83 164 145  17 184 126  37  97  79 178 159  29 119 200 
MaschineNo   8 :  135  23 192   5 154  67  75 114  46  94 177 167 149  58  89  38  20 109 189 130 
MaschineNo   9 :   11  52 136 182   4 143  34  27 165 156  77  47 106  68 128  98 199 117  90 180 
MaschineNo  10 :   41 122  73  55  64 139  15 196   7  28 157 148  87 186 107 169 116  99 179  40 

Upper bound 1429 after 88 search tree nodes
MaschineNo   1 :   91 111 131 123 161  56  84  26 175 194  36  66  78   8  18 160 150 110  50 190 
MaschineNo   2 :   51 151 141 112 173   3  85 140  35  16 127 197 187 168 108  48  70 100  80  30 
MaschineNo   3 :   71 121  53  22 172 137 162 155 181 144  33  92  86 195  65 113 105  19  10  49 
MaschineNo   4 :   21  72  81 191 132  13  63   2  57 158 146 176  95 104  45 129 188  39 118 170 
MaschineNo   5 :   31  12  82 153  74 138  25 174 163 125   6 103 183  93  44 147  60 115 198  69 
MaschineNo   6 :   61 171 152 142 101 133  32  24 124  43 193  14  76  59 166 185  96  88   9 120 
MaschineNo   7 :    1  42  62  54 134  83 102 164 145 126 184  17  37  97 159 178  79 119  29 200 
MaschineNo   8 :   23  75 135 154 192   5  58  94 167 114  67 177  46  38 149  89 109 189 130  20 
MaschineNo   9 :   11  52 143 136   4 156  27 182  34 165  77 128 106  68  98  47 117 199  90 180 
MaschineNo  10 :   41  73 122  55 139  64 157  28  15   7 196 186  87 148 107 116  99 169 179  40 

Upper bound 1422 after 95 search tree nodes
MaschineNo   1 :  131  91 111 161 123  56  84 194  26 175  66  36  18  78   8 160 150 110  50 190 
MaschineNo   2 :   51 151 141 112 173  85   3  16 140  35 197 127 187 168 108  48  70  80 100  30 
MaschineNo   3 :   71 121  53  22 172 137 162 155 181  33  65 195  86 144  92 113 105  19  10  49 
MaschineNo   4 :  191  21  72  81 132  13  63   2  57 158 176 146  95 104  45 188  39 129 118 170 
MaschineNo   5 :   31  12  82 153 138  25 174 163  74 125 183   6 103  44  93 198 147  60 115  69 
MaschineNo   6 :   61 171 152 193 133  32  43  24 101  14 124 142  76  59 185  96 166  88   9 120 
MaschineNo   7 :    1  42  62  54 134  83 102 164 126  17 145 184  37 159  97 178  79  29 119 200 
MaschineNo   8 :  192  23 135 154  58   5  75  67  94 177 114 167  46  38 149  89 109 189  20 130 
MaschineNo   9 :   11  52 136 156   4 182  34 143  27 165  77  68 106 128  47  98 199 117 180  90 
MaschineNo  10 :   41 122  73  55 139  64  15 157 196  28  87   7 186 148 107 179 116  99 169  40 

Upper bound 1417 after 98 search tree nodes
MaschineNo   1 :  131 111  91 161 123  56  84 194  26  36   8 175  66  78  18 160  50 150 110 190 
MaschineNo   2 :   51 141 151 112  35   3  85 140 173  48 127  16 197 168 187  70 108  80 100  30 
MaschineNo   3 :   71 121  53  33 144  22 137 162 155 172 181 195  92  65 113  86  49 105  19  10 
MaschineNo   4 :   21  81  72 191 132  13  63   2 146  57  45 158  95  39 176 104 129 118 188 170 
MaschineNo   5 :   31  12  74  82 153  44 138  25 163 125   6 147 174  93 183 103 115 198  69  60 
MaschineNo   6 :   61 171 142 152  32  43 133 193  24 124  14 101  76 166  96 185  88  59   9 120 
MaschineNo   7 :    1  42  62  54 134 145  83 164 126 102  37 159 184  17  97  79 178 119  29 200 
MaschineNo   8 :   75 192 135  23 154   5  46  58  94 167  38 114  67 149 177  89 130 109 189  20 
MaschineNo   9 :   11  52 143  34 136   4 156  47 165 182  77 128  27  68 106 117  98 199  90 180 
MaschineNo  10 :   41  73 122  55 139  64 157   7  15 196 148  87 186  28 116 169 107  99 179  40 

Upper bound 1416 after 99 search tree nodes
MaschineNo   1 :  131 111  91 161 123  56  84 194 175  26  36  66   8  78  18  50 150 160 110 190 
MaschineNo   2 :   51 141 151 112  35 173   3  85 140  16  48 197 127 168 187 108 100  70  80  30 
MaschineNo   3 :   71 121  53  33 144 172  22 137 162 155 181 195  92  65 113  86  49 105  19  10 
MaschineNo   4 :   21  81  72 191 132  13  63   2 146  57  45 176 158  95 104  39 188 129 118 170 
MaschineNo   5 :   31  12  74  82 153  44 174 138 163  25   6 125 147  93 183 103 198  60 115  69 
MaschineNo   6 :   61 171 142 152  32  43 133 193  14  24 124 101  76  59 166 185  96  88   9 120 
MaschineNo   7 :    1  42  62  54 134 145  83 164  17 102 126 184 178  37  97 159  79  29 119 200 
MaschineNo   8 :   75 192 135 154  23   5  46  58 177  94  67 167 114  38 149  89 109 189  20 130 
MaschineNo   9 :   11  52 143  34 136   4 156  47 182 165  77  27 106  68 128  98 199 117  90 180 
MaschineNo  10 :   41  73 122  55  64 139  15 157 196   7 148 186  87 107  28 116  99 169 179  40 

Upper bound 1415 after 107 search tree nodes
MaschineNo   1 :  131  91 111 161 123  56  84 194 175  26  66  36  78   8  18 150 160 110  50 190 
MaschineNo   2 :   51 141 151 112 173   3  85  35 140  16 127 197 168 108 187  48  70 100  80  30 
MaschineNo   3 :   71 121  53  22 144 172 155 137 162  33  65 195  92 181 113  86 105  19  10  49 
MaschineNo   4 :   81  21  72 191 132  13  63   2 146  57  45 176  95 104 158 129  39 188 118 170 
MaschineNo   5 :   31  12  82  74 153  44 174 138 163  25 125   6  93 103 147 183 115 198  69  60 
MaschineNo   6 :   61 171 142 152  32  43 133 101 193  14  24 124  76 166  96  59  88 185   9 120 
MaschineNo   7 :    1  42  62  54 134 145  83 102 164 126  17  97 184 178  37 159  79  29 119 200 
MaschineNo   8 :   75 192 154 135  23   5  58  46  94 177 167 114  67 149  38  89 109 130  20 189 
MaschineNo   9 :   11  52 143 136 156   4  34 165  77 182  27 106 128  98  68  47 199 117  90 180 
MaschineNo  10 :   41  73 122  55  64 139 157  15 196   7  87 148  28 107 186 116  99 179 169  40 

Upper bound 1413 after 123 search tree nodes
MaschineNo   1 :  111 131  91 123 161  84  56  26  36  78 175 194  18  66  50   8 110 190 150 160 
MaschineNo   2 :   51   3 141 151 112  35  85 173 140  16 127  48 187 108 197 168  80 100  70  30 
MaschineNo   3 :   71 121  53  22 181  33 162 137 172 105  86 144  92  65 113 155 195  49  19  10 
MaschineNo   4 :   81   2  72  21 132 191  13  63  57 104  45  95 176 146 188 158 129 118  39 170 
MaschineNo   5 :   31  82  74  12 103   6  25 138 163 183 125 174  44  93 153 147 115 198  69  60 
MaschineNo   6 :   61 101 171  32  76 133  24 124 142 193  14  43 152 185 166  96  88  59   9 120 
MaschineNo   7 :    1  42  83 102  54  62 134 164 145 184 126  17  97  37  79 178 159 119  29 200 
MaschineNo   8 :   75   5  23 135 192  58  94  46 154 167 114 177  67 109 189 149  38  89  20 130 
MaschineNo   9 :   11  52   4  77  34 136 182 143 106 165  27  47 156 128  98  68 117 199 180  90 
MaschineNo  10 :   41  73 122  55  64 139   7  15 186  87 107 196 157 148  99 116  28 179 169  40 

Upper bound 1409 after 138 search tree nodes
MaschineNo   1 :  111 131  91 123 161  84 175  56 194  26  36   8  66  50  78 150  18 110 160 190 
MaschineNo   2 :   51 141   3 151 173 112  85  35 140 108 127  48  16 197 187 168  80 100  70  30 
MaschineNo   3 :   71 121 172  53  22 137  33 162 105 181 144  92 195 155 113  65  86  49  10  19 
MaschineNo   4 :   81   2 191 132  21  72  13 104 176  63 146  45  95  57  39 129 158 188 118 170 
MaschineNo   5 :   31  12  82 103 174  74 138 153   6 163  25  44 125  93 183 147 115 198  60  69 
MaschineNo   6 :  171 101  32  61 133 142 152  43  24 193 124  76  14  96 185 166  59   9  88 120 
MaschineNo   7 :    1  42 102  83 134  54  62 164 145 178 126 184  37  97  17  79 159  29 119 200 
MaschineNo   8 :  192   5 135  23  75 154 177  94  46 114  58  38 167 149  67 130 109  89 189  20 
MaschineNo   9 :   11  52   4 136  34 143 106 182 165 156  47  77 128  27  98  68 199 117 180  90 
MaschineNo  10 :   41 122  73  55 139   7 107  64 196  15 148 186 157  87 179 116  28  99 169  40 

Upper bound 1407 after 158 search tree nodes
MaschineNo   1 :  131 161  91 111 123  84 194  56  26  36  50 175  66  78   8  18 110 150 160 190 
MaschineNo   2 :  151  51 141  35 112  85 140   3 108 173  48  16 127 197 187 168  80 100  70  30 
MaschineNo   3 :   71 121  33  53 137  22 162 105 181 172 144  65  49 195  92 155 113  86  19  10 
MaschineNo   4 :   81 132 191  21  72 104  13  63   2  45  57 146  39 176  95 158 129 188 118 170 
MaschineNo   5 :   31  82 103  12 138 153  74  25  44 163 125 174   6  93 183 147 198 115  60  69 
MaschineNo   6 :  101 152 133  32  61 171 193  24  43 142 124  14  76 166  59 185  96  88   9 120 
MaschineNo   7 :   42 102 134  83  54  62   1 164 145 126  37  17 184  79 178  97 159 200 119  29 
MaschineNo   8 :  135 192  23  75 154 109  46   5  58  38  94 114 177  67 167 149  89 189  20 130 
MaschineNo   9 :   11  52 136  34 106 143   4  47 182 165  77 156 128 199  68  98  27 117  90 180 
MaschineNo  10 :   41 122  73  55 139 107  64  15   7 196  87 157 186 148 179 116  99 169  28  40 

Upper bound 1405 after 161 search tree nodes
MaschineNo   1 :  131 161  91 111 123  84 194  56  26  36  50 175  66  78   8  18 110 150 160 190 
MaschineNo   2 :  151  51 141  35 112  85 140   3 108 173  48  16 127 197 187 168  80 100  70  30 
MaschineNo   3 :   71 121  33  53 137  22 162 105 181 172 144  65  49 195  92 155 113  86  19  10 
MaschineNo   4 :   81 132 191  21  72 104  13  63   2  45  57 146  39  95 176 129 158 188 118 170 
MaschineNo   5 :   31  82 103  12 138 153  44 163  25  74 125 174   6  93 183 147 198 115  60  69 
MaschineNo   6 :  101 152  32 133  61 171 193  43  24 142 124  14  76  59 166 185  96  88   9 120 
MaschineNo   7 :   42 102   1 134  83  54  62 164 145 126  37  17 184  79  97 178 159  29 119 200 
MaschineNo   8 :  135 192  23 154  46   5  75  58 109  38  94 114  67 177 167  89 149 130 189  20 
MaschineNo   9 :   11  52 136  34 106 143   4  47 182  27 165  77 128 156 199  68  98 117  90 180 
MaschineNo  10 :   41 122  73  55 139 107  64  15   7 196  28  87 186 157 148 116 179  99 169  40 

Upper bound 1404 after 163 search tree nodes
MaschineNo   1 :  131 161  91 111 123  84 194  56  26  36  50 175  66  78   8  18 110 150 160 190 
MaschineNo   2 :  151  51 141  35 112  85 140   3 108 173  48  16 127 197 187 168  80 100  70  30 
MaschineNo   3 :   71 121  33  53 137  22 162 105 181 172 144  65  49 195  92 155 113  86  19  10 
MaschineNo   4 :   81 132 191  21  72 104  13  63   2  45  57 146  39 176  95 158 129 188 118 170 
MaschineNo   5 :   31  82 103  12 138 153  74  25  44 163 125 174   6  93 183 147 198 115  60  69 
MaschineNo   6 :  101 152  32 133  61 171 193  24  43 142 124  14  76  59 166 185  96  88   9 120 
MaschineNo   7 :   42 102   1 134  83  54  62 164 145 126  37  17 184  79 178  97 159  29 119 200 
MaschineNo   8 :  135 192  23  75 154 109  46   5  58  38  94 114 177  67 167  89 149 130 189  20 
MaschineNo   9 :   11  52 136  34 106 143   4  47 182  27  77 165 156 128 199  68  98 117 180  90 
MaschineNo  10 :   41 122  73  55 139 107  64  15   7 196  28  87 186 157 148 179 116  99 169  40 

Upper bound 1402 after 163 search tree nodes
MaschineNo   1 :  131 161  91 111 123  84 194  56  26  36  50 175  66  78   8  18 110 150 160 190 
MaschineNo   2 :  151  51 141  35 112  85 140   3 108 173  48  16 127 197 187 168  80 100  70  30 
MaschineNo   3 :   71 121  33  53 137  22 162 105 181 172 144  65  49 195  92 155 113  86  19  10 
MaschineNo   4 :   81 132 191  21  72 104  13  63   2  45  57 146  39 176  95 129 158 188 118 170 
MaschineNo   5 :   31  82 103  12 138 153  74  25  44 163 125 174   6  93 183 147 198 115  60  69 
MaschineNo   6 :  101 152  32 133  61 171 193  24  43 142 124  14  76  59 166 185  96  88   9 120 
MaschineNo   7 :   42 102   1 134  83  54  62 164 145 126  37  17 184  79 178  97 200 159 119  29 
MaschineNo   8 :  135 192  23  75 154 109  46   5  58  38  94 114 177  67 167 149  89 130 189  20 
MaschineNo   9 :   11  52 136  34 106 143   4  47  27 182  77 165 128 156 199  68  98 117  90 180 
MaschineNo  10 :   41 122  73  55 139 107  64  15  28   7 196  87 148 186 157 179 116  99 169  40 

Upper bound 1395 after 201 search tree nodes
MaschineNo   1 :  131 161  91 123 111  84 194  56  26  36  50 175  66  78   8  18 110 150 160 190 
MaschineNo   2 :  151  51 141  35 112  85 108   3 173  48  16 127 140 197 168 187  80  70 100  30 
MaschineNo   3 :  121  71  33  53 137  22 162 105 181 172 144 195  86  49  92  65 113 155  19  10 
MaschineNo   4 :   81 132 191  21  72  13 104  63  45   2  57 146  95 176  39 129 158 188 118 170 
MaschineNo   5 :   31  82  12 103 138 153  44 163  25  74 125 174   6  93 183 147 115 198  69  60 
MaschineNo   6 :  101 152 133  32  61 171 193  43  24 142 124  14  76 166  96 185  88  59   9 120 
MaschineNo   7 :   42 102 134  83  54  62   1 164 145 126  17  37 184  79  97 178 159  29 119 200 
MaschineNo   8 :  135 192  23 154 109  46  75   5  58  94 167  38  67 114 177  89 149 130 189  20 
MaschineNo   9 :   11  52 136  34 106 143  47   4  27 182 165  77 128 156  68  98 199 117  90 180 
MaschineNo  10 :   41 122  73  55 139 107  64  15  28   7 196  87 186 157 148 116 169  99 179  40 

Upper bound 1392 after 202 search tree nodes
MaschineNo   1 :  131 161  91 123 111  84 194  56  26  36  50 175  66  78   8  18 110 150 160 190 
MaschineNo   2 :  151  51 141  35 112  85 108   3 173  48  16 127 168 197 187 140  80  70 100  30 
MaschineNo   3 :  121  71  33  53 137  22 162 105 181 172 144 195  86  49  92  65 113 155  19  10 
MaschineNo   4 :   81 132 191  21  72  13 104  45  63   2  57 146  95 176 129 158 188 118  39 170 
MaschineNo   5 :   31  82  12 103 138 153  44 163  25  74 125 174   6  93 183 147 115 198  69  60 
MaschineNo   6 :  101 152 133  32  61 171 193  43  24 142 124  14  76 166  96 185  88  59   9 120 
MaschineNo   7 :   42 102 134  83  54  62   1 164 145 126  17 184  37  79  97 178 159  29 119 200 
